atome_1,atome_2,distance,icohp-up,icohp-down
Ni56,O111,2.00775,-0.73126,-0.86606
Mn46,O118,1.95227,-1.1092,-1.39063
Mn54,O65,8.349,-0.00025,-0.00032
Mn40,O68,1.95123,-1.11297,-1.39664
Mn54,O114,1.91575,-1.21709,-1.56678
Mn45,O107,1.95575,-1.12232,-1.38588
Li2,O106,2.16946,-0.37646,-0.35885
Mn43,O115,1.97675,-1.04623,-1.31768
Mn42,O118,1.95318,-1.12328,-1.4079
Ni58,O72,8.43451,-9e-05,-7e-05
Mn47,O69,1.90616,-1.2578,-1.58777
Ni55,O114,2.105,-0.44479,-0.71466
Mn43,O65,1.93857,-1.1468,-1.44238
Mn47,O109,1.96344,-1.10334,-1.3689
Mn44,O95,8.4619,-0.00043,-0.00043
Li2,O73,2.07866,-0.43126,-0.41775
Mn46,O76,1.92113,-1.20802,-1.51678
Mn39,O75,1.91561,-1.22844,-1.54221
Mn53,O81,1.88521,-1.32352,-1.71586
Li5,O88,2.0681,-0.43971,-0.42928
Mn40,O116,1.94934,-1.13188,-1.41904
Mn49,O90,2.02619,-0.92997,-1.1423
Mn50,O62,26.17906,-1e-05,-0.0
Mn53,O92,1.98131,-1.07306,-1.28488
Ni59,O81,2.14703,-0.3783,-0.60316
Mn51,O99,1.93534,-1.11613,-1.46341
Li4,O108,2.10512,-0.4102,-0.39801
Li1,O80,23.43537,-0.0,-1e-05
Mn44,O86,1.99978,-0.98484,-1.21627
Mn40,O85,1.95566,-1.11814,-1.38521
Mn43,O96,1.90079,-1.2686,-1.59546
Mn48,O90,1.95146,-1.11038,-1.39321
Mn42,O87,1.94795,-1.13829,-1.40872
Mn52,O110,1.99686,-0.95883,-1.24202
Ni56,O91,1.97048,-0.82581,-0.93716
Mn48,O110,1.94057,-1.16532,-1.47184
Mn39,O67,1.92348,-1.21755,-1.51889
Mn44,O106,1.90838,-1.25127,-1.54372
Mn39,O115,1.96741,-1.07576,-1.3554
Ni60,O83,1.88182,-1.06548,-1.12386
Li2,O83,2.03613,-0.46577,-0.46872
Mn53,O111,1.88037,-1.37477,-1.77106
Mn39,O95,1.96128,-1.098,-1.33829
Mn51,O90,8.39627,-0.00033,-0.00032
Li3,O116,2.03448,-0.43907,-0.42978
Li5,O118,2.07491,-0.42689,-0.41565
Mn38,O103,1.90278,-1.32021,-1.63292
Mn51,O79,2.00353,-0.95294,-1.18571
Mn52,O120,2.1283,-0.41724,-0.89941
Mn54,O105,9.41198,-6e-05,-8e-05
Ni56,O63,2.04664,-0.46054,-0.89245
Mn40,O76,1.93558,-1.15248,-1.44957
Mn50,O102,24.4864,-1e-05,-1e-05
Mn38,O93,1.90099,-1.2777,-1.64658
Mn41,O117,1.9564,-1.11358,-1.38311
Mn48,O99,8.56572,-0.00063,-0.00048
Li36,O87,2.1025,-0.42225,-0.41062
Ni57,O114,1.97537,-0.87625,-0.96463
Ni55,O93,8.47785,-0.00012,-0.00018
Ni56,O71,1.89045,-0.97122,-1.15455
Li4,O85,2.06246,-0.42946,-0.41748
Mn51,O109,1.945,-1.09309,-1.42654
Mn41,O97,1.92071,-1.20325,-1.51855
Mn46,O88,1.94045,-1.14055,-1.4283
Mn42,O98,1.92788,-1.19442,-1.49161
Mn39,O86,8.6057,-0.00044,-0.00035
Mn45,O87,1.928,-1.18659,-1.49103
Li4,O75,2.1249,-0.40426,-0.38976
Mn42,O108,1.93373,-1.16635,-1.46677
Ni57,O66,2.13863,-0.40768,-0.66452
Ni60,O71,2.06973,-0.54245,-0.84183
Mn38,O113,1.89147,-1.28823,-1.68696
