atome_1,atome_2,distance,icohp-up,icohp-down
Ni49,O104,1.89566,-1.02431,-1.14182
Co34,O78,1.90475,-0.64623,-1.62521
Ni43,O69,1.96594,-0.72542,-0.93808
Ni50,O65,2.0446,-0.50954,-0.82004
Ni60,O69,2.0071,-0.49465,-0.88779
Co34,O87,2.04359,-0.51199,-1.01749
Ni44,O79,1.88599,-1.02677,-1.14336
Ni52,O76,2.03499,-0.5119,-0.85821
Ni52,O118,2.05948,-0.4915,-0.84127
Mn31,O86,1.95324,-1.14334,-1.40513
Ni50,O105,2.06251,-0.50534,-0.78204
Ni37,O114,2.07389,-0.48147,-0.76458
Ni50,O115,2.12884,-0.42312,-0.66717
Ni44,O119,1.9641,-0.72753,-0.95668
Ni40,O111,1.90903,-0.9477,-1.10631
Ni50,O73,2.04895,-0.52386,-0.85075
Ni45,O100,2.06214,-0.43872,-0.75614
Ni37,O74,2.06525,-0.48976,-0.74846
Co35,O100,1.92902,-0.78962,-1.26247
Ni39,O116,2.01228,-0.66538,-0.86139
Ni37,O104,2.07934,-0.45486,-0.76317
Mn31,O106,1.93232,-1.1839,-1.48003
Ni53,O110,2.04889,-0.5049,-0.81716
Ni52,O108,2.01768,-0.71263,-0.89103
Ni38,O105,1.98846,-0.72699,-0.91779
Ni51,O107,2.06098,-0.49157,-0.81364
Co34,O118,2.04127,-0.52487,-1.03711
Ni48,O94,2.13188,-0.42613,-0.74804
Ni53,O70,2.07164,-0.48864,-0.77878
Ni49,O114,2.1131,-0.44541,-0.76205
Ni39,O106,2.07305,-0.48624,-0.798
Ni58,O73,1.89754,-1.01505,-1.16051
Ni51,O75,2.07851,-0.4846,-0.77578
Ni57,O64,2.10133,-0.41132,-0.75996
Co35,O77,1.93248,-0.56841,-1.37847
Ni43,O107,1.99484,-0.7598,-0.95901
Ni43,O77,2.01185,-0.48861,-0.86744
Ni57,O71,2.09114,-0.41039,-0.77255
Ni51,O67,2.05312,-0.52089,-0.82425
Ni41,O72,1.8986,-0.94551,-1.12491
Mn31,O74,1.92688,-1.18463,-1.4758
Co36,O87,1.90533,-1.12542,-1.2925
Ni60,O109,1.9484,-0.80014,-1.02337
Ni38,O67,1.99279,-0.73905,-0.93453
Ni60,O99,1.97915,-0.7497,-0.96654
Ni55,O119,1.907,-0.8943,-1.07917
Mn33,O115,1.92955,-1.21508,-1.49689
Ni52,O68,1.97768,-0.78101,-0.93877
Ni56,O112,1.88269,-1.09011,-1.12219
Ni48,O71,1.91975,-0.88812,-1.0609
Ni54,O101,1.87677,-1.0985,-1.11718
Ni46,O101,1.91773,-0.89108,-1.0699
Ni54,O91,1.88622,-1.10951,-1.1237
Ni46,O111,2.07743,-0.41374,-0.78614
Ni54,O61,1.92468,-0.99192,-1.01213
Ni50,O96,2.03515,-0.52661,-0.84605
Mn31,O66,1.91276,-1.21934,-1.55608
Ni55,O89,2.05709,-0.42784,-0.7885
Ni42,O113,2.06706,-0.4777,-0.79511
Mn33,O108,1.92742,-1.16713,-1.47544
Ni39,O76,1.99763,-0.81274,-0.91771
Ni42,O65,2.10178,-0.4937,-0.74193
Ni47,O102,2.08991,-0.47539,-0.75978
Co36,O77,1.91528,-1.06734,-1.15456
Ni50,O85,2.06594,-0.47239,-0.76549
Ni46,O81,1.8756,-1.0534,-1.18276
Ni41,O64,1.89471,-0.98926,-1.12883
Ni52,O88,1.95165,-0.84225,-1.01345
Ni48,O63,1.90307,-0.97341,-1.10069
Ni44,O99,1.89037,-1.04526,-1.15042
Ni59,O67,1.95588,-0.88518,-1.02496
Co34,O70,2.01603,-0.52228,-1.11983
Ni46,O92,1.93743,-0.89853,-1.06414
Co35,O119,1.93568,-0.62922,-1.37339
Ni40,O63,2.1114,-0.39052,-0.73466
Mn32,O84,1.9127,-1.2567,-1.5687
Ni45,O80,2.049,-0.50207,-0.84502
Ni58,O106,1.94084,-0.87725,-1.00865
Ni42,O103,2.01312,-0.49721,-0.87543
Ni49,O84,1.96454,-0.82296,-0.97427
Mn33,O68,1.96316,-1.09042,-1.33822
Ni58,O66,1.94345,-0.89335,-0.99696
Ni39,O96,1.911,-0.93828,-1.10982
Co35,O69,1.9154,-0.90745,-1.2809
Ni45,O89,1.99905,-0.54383,-0.90036
Ni47,O82,2.02964,-0.49289,-0.82437
Co35,O89,1.89755,-0.92801,-1.39028
Mn33,O98,1.93981,-1.14991,-1.44123
Ni47,O112,2.02139,-0.49886,-0.86041
Ni38,O75,2.02116,-0.519,-0.8827
Ni42,O73,2.04642,-0.52816,-0.84524
Ni41,O92,1.91841,-0.92341,-1.08378
Ni41,O81,2.13289,-0.39618,-0.70793
Ni37,O94,1.99537,-0.54646,-0.93171
Ni51,O98,2.05871,-0.49254,-0.78201
Ni43,O97,2.02034,-0.5235,-0.90441
Ni58,O113,1.89379,-0.97564,-1.13885
Ni38,O115,1.96398,-0.7433,-0.97504
Co34,O108,2.09895,-0.46162,-0.87805
Ni42,O93,2.04704,-0.47758,-0.79574
Ni38,O95,2.04378,-0.47187,-0.79791
Mn33,O75,1.92929,-1.21124,-1.53584
Ni57,O94,1.8918,-1.01607,-1.16328
