atome_1,atome_2,distance,icohp-up,icohp-down
Li2,O68,2.08799,-0.42664,-0.41365
Li3,O77,2.0724,-0.42456,-0.4153
Ni49,O111,2.05518,-0.50182,-0.82449
Mn40,O68,1.93108,-1.1617,-1.4617
Mn37,O96,1.95141,-1.10665,-1.37601
Li2,O106,2.03992,-0.4378,-0.43612
Ni51,O113,2.06657,-0.46165,-0.77667
Ni52,O83,2.07562,-0.45528,-0.76033
Li2,O116,2.08853,-0.41472,-0.40193
Mn47,O69,1.93984,-1.16045,-1.44143
Mn47,O109,1.92811,-1.18383,-1.48264
Mn42,O90,1.93024,-1.16746,-1.46386
Ni58,O81,1.89901,-1.06336,-1.08248
Mn39,O75,1.94412,-1.13912,-1.42356
Li2,O76,2.07794,-0.43192,-0.42052
Ni53,O81,1.91021,-0.65162,-1.19847
Ni56,O84,1.88624,-1.05145,-1.15555
Mn46,O98,1.94403,-1.14174,-1.42378
Ni55,O83,1.88783,-1.02147,-1.1461
Ni60,O96,1.88533,-1.10418,-1.10586
Mn45,O86,1.94442,-1.1418,-1.41153
Ni50,O112,2.06182,-0.49364,-0.81334
Mn44,O62,1.95061,-1.12205,-1.40742
Ni53,O92,2.03139,-0.48778,-0.89391
Li4,O108,2.07385,-0.4341,-0.42219
Ni56,O64,1.90875,-0.98938,-1.10417
Mn42,O120,1.93373,-1.1715,-1.4564
Ni58,O111,1.88821,-1.0835,-1.10925
Mn48,O110,1.92947,-1.17839,-1.47691
Li1,O67,2.09276,-0.41554,-0.40229
Mn39,O67,1.93074,-1.16881,-1.46492
Mn38,O106,1.95559,-1.09683,-1.36258
Ni55,O94,2.04751,-0.54594,-0.86629
Li1,O115,2.10418,-0.39834,-0.38475
Ni60,O83,1.89787,-1.06394,-1.09515
Ni53,O111,1.94181,-0.5871,-1.13198
Mn41,O100,1.94579,-1.13881,-1.4123
Ni58,O64,1.90323,-1.08138,-1.09574
Ni54,O112,1.93854,-0.59182,-1.13577
Li4,O87,2.08651,-0.42191,-0.41179
Mn48,O77,1.94644,-1.12963,-1.41111
Ni57,O63,1.90819,-1.06633,-1.08094
Ni52,O74,2.04152,-0.5357,-0.83677
Mn40,O76,1.94526,-1.12449,-1.40982
Ni50,O102,2.04533,-0.53456,-0.83378
Mn39,O117,1.93812,-1.16089,-1.44581
Li6,O100,2.09328,-0.41763,-0.40993
Mn48,O100,1.94301,-1.14803,-1.42786
Mn47,O99,1.94208,-1.15017,-1.43004
Ni59,O74,2.09657,-0.44638,-0.77023
Mn46,O115,1.93604,-1.15307,-1.43554
Ni55,O103,2.03382,-0.54104,-0.87272
Li5,O79,2.04031,-0.43867,-0.4263
Mn39,O107,1.93977,-1.15611,-1.43763
Ni51,O65,2.0523,-0.51896,-0.82023
Mn42,O110,1.93997,-1.1569,-1.43772
Li4,O78,2.0746,-0.42745,-0.41542
Ni52,O94,2.0289,-0.52709,-0.86546
Mn37,O73,1.96415,-1.09574,-1.34328
Mn46,O108,1.92987,-1.17704,-1.4738
Mn43,O61,1.94953,-1.12433,-1.41334
Ni58,O71,1.9025,-1.07367,-1.08995
Li4,O70,2.07563,-0.42055,-0.40965
Mn45,O116,1.92601,-1.17454,-1.48386
Mn40,O108,1.94071,-1.15426,-1.4325
Ni54,O102,2.02874,-0.49041,-0.90259
Mn43,O91,1.94779,-1.15296,-1.44648
Ni50,O92,2.04185,-0.53285,-0.83912
Mn38,O116,1.95017,-1.12845,-1.39204
Mn38,O66,1.95332,-1.1102,-1.36762
Ni52,O66,2.07726,-0.47337,-0.75726
Ni57,O103,1.85728,-1.16535,-1.17558
Li3,O117,2.0863,-0.42048,-0.40811
Mn46,O75,1.94526,-1.14191,-1.42544
Li3,O107,2.08286,-0.42441,-0.41333
Mn43,O101,1.92385,-1.19281,-1.5152
Li2,O96,2.04149,-0.42848,-0.4263
Ni50,O64,2.03972,-0.5228,-0.82875
Ni60,O73,1.89072,-1.0894,-1.10423
Li1,O75,2.09717,-0.41017,-0.40173
Li4,O118,2.09062,-0.4153,-0.40241
Mn41,O89,1.92941,-1.17098,-1.47276
Mn48,O117,1.93218,-1.1608,-1.45519
Li1,O105,2.06271,-0.44066,-0.4356
Mn40,O118,1.93465,-1.17559,-1.46233
Ni51,O73,2.05565,-0.49782,-0.789
Ni55,O63,1.91095,-0.9835,-1.10773
Ni49,O71,2.04223,-0.51564,-0.82581
Ni51,O93,2.01936,-0.52588,-0.88302
Mn45,O76,1.94892,-1.12256,-1.4011
Ni49,O101,2.0449,-0.53094,-0.83426
Mn42,O78,1.94433,-1.13439,-1.41946
Ni56,O114,1.92921,-0.90553,-1.06857
Mn46,O85,1.93052,-1.17022,-1.46734
Li3,O97,2.07275,-0.42601,-0.41438
Ni52,O114,2.05582,-0.50809,-0.8265
Ni53,O61,1.88717,-0.6638,-1.32773
Mn37,O85,1.94095,-1.15261,-1.42966
Mn37,O115,1.92294,-1.21168,-1.50407
Li5,O119,2.10527,-0.4101,-0.39676
Mn39,O87,1.93106,-1.17191,-1.47107
Mn39,O98,1.94682,-1.13412,-1.40967
Ni55,O113,1.90907,-0.95303,-1.10856
