atome_1,atome_2,distance,icohp-up,icohp-down
Mn54,O111,1.96036,-1.107,-1.36538
Mn41,O95,1.94658,-1.14265,-1.41097
Ni57,O79,23.4371,-0.0,-0.0
Ni55,O109,2.05662,-0.46787,-0.77969
Ni57,O111,2.0977,-0.46579,-0.71595
Ni59,O65,8.35783,-0.00011,-0.00016
Mn41,O105,1.94645,-1.14362,-1.41194
Mn42,O106,1.94232,-1.14278,-1.42087
Li3,O96,2.15146,-0.3807,-0.36956
Mn42,O116,1.9521,-1.12061,-1.38731
Mn40,O74,1.95171,-1.15841,-1.39178
Ni57,O81,2.11506,-0.45178,-0.69165
Mn39,O84,8.55982,-0.00082,-0.00074
Mn45,O85,1.92717,-1.19863,-1.49798
Li1,O91,8.3396,-0.00034,-0.00029
Ni58,O83,2.01721,-0.49983,-0.86748
Li3,O73,2.07269,-0.42401,-0.40957
Mn53,O103,9.43999,-3e-05,-5e-05
Ni60,O77,2.06468,-0.47188,-0.76529
Mn51,O61,8.51042,-0.00034,-0.00048
Mn48,O118,1.94058,-1.14735,-1.4287
Ni58,O103,2.05907,-0.47327,-0.77338
Li2,O72,2.16442,-0.37958,-0.36539
Mn50,O70,1.95999,-1.13034,-1.35949
Mn48,O76,1.93031,-1.17475,-1.47826
Mn50,O110,1.96674,-1.08509,-1.38919
Mn40,O114,1.93127,-1.16458,-1.5325
Ni56,O120,2.05102,-0.46495,-0.76865
Li1,O112,2.1724,-0.38039,-0.36864
Mn42,O76,1.93581,-1.16134,-1.45721
Mn40,O94,1.95862,-1.12704,-1.35284
Mn45,O65,1.96235,-1.1069,-1.35529
Mn52,O89,23.49241,-1e-05,-1e-05
Mn39,O93,1.94892,-1.13805,-1.39054
Mn47,O107,1.94987,-1.12468,-1.40939
Mn42,O85,1.93488,-1.17016,-1.45461
Ni58,O94,2.07227,-0.45577,-0.74553
Mn46,O116,1.93393,-1.17491,-1.4684
Li2,O64,2.18804,-0.36285,-0.34897
Li5,O108,2.10898,-0.41057,-0.39728
Mn49,O109,1.90506,-1.22589,-1.64281
Mn43,O117,1.96663,-1.09421,-1.34354
Ni59,O114,2.01701,-0.50114,-0.86745
Mn37,O71,1.95752,-1.11425,-1.37606
Mn42,O68,1.92892,-1.17995,-1.48687
Ni55,O79,2.07792,-0.46908,-0.76984
Mn39,O65,1.95525,-1.13439,-1.36924
Mn54,O94,1.94324,-1.16366,-1.43501
Mn48,O97,8.50577,-0.00047,-0.00042
Mn52,O92,1.95688,-1.12577,-1.36256
Mn45,O73,1.92128,-1.19966,-1.51934
Li1,O62,2.02628,-0.45691,-0.45213
