atome_1,atome_2,distance,icohp-up,icohp-down
Ni55,O86,8.52192,-6e-05,-7e-05
Co46,O106,2.05162,-0.47369,-1.01097
Co46,O86,2.03716,-0.494,-1.0365
Ni54,O114,2.08661,-0.45463,-0.74575
Co47,O67,1.9426,-0.60826,-1.34431
Co43,O103,2.11403,-0.41753,-0.84959
Co47,O117,1.93718,-0.6006,-1.28447
Ni60,O100,2.03749,-0.50455,-0.82831
Ni51,O91,2.0384,-0.49849,-0.81761
Mn34,O111,1.95573,-1.09795,-1.37079
Mn36,O96,1.93018,-1.18369,-1.50968
Ni58,O98,2.03668,-0.50107,-0.83235
Mn34,O64,1.96522,-1.12904,-1.36234
Mn37,O67,1.96482,-1.11242,-1.37023
Ni56,O116,2.1116,-0.43159,-0.70414
Ni53,O73,2.07358,-0.48724,-0.77743
Mn39,O69,1.96365,-1.11754,-1.38533
Ni59,O109,2.05473,-0.49621,-0.81339
Ni51,O82,8.47823,-4e-05,-9e-05
Co44,O72,1.94813,-0.94657,-1.11361
Mn34,O94,1.92001,-1.21558,-1.55654
Ni59,O90,8.47721,-5e-05,-7e-05
Ni57,O107,2.04524,-0.49564,-0.83028
Ni51,O71,2.055,-0.49106,-0.7955
Ni59,O119,2.09986,-0.43551,-0.73156
Mn40,O110,1.90523,-1.22312,-1.59589
Mn35,O114,1.94587,-1.13093,-1.40271
Mn36,O83,1.95216,-1.12144,-1.39079
Ni60,O62,23.40173,-0.48753,-0.80293
Ni51,O63,2.05111,-0.4872,-0.80443
Ni55,O75,2.06037,-0.47738,-0.77868
Ni54,O104,2.05628,-0.48731,-0.80714
Mn34,O104,1.90576,-1.23514,-1.60922
Co49,O119,1.93616,-0.60656,-1.33376
Mn33,O72,1.96442,-1.1207,-1.35369
Co50,O78,1.94931,-0.59609,-1.27284
Ni60,O89,2.11371,-0.42815,-0.71689
Ni59,O79,2.05171,-0.49204,-0.80534
Mn34,O71,1.96424,-1.11837,-1.36063
Mn31,O90,20.28294,-0.00013,-0.00013
Mn38,O85,1.95299,-1.13101,-1.41846
Co49,O100,2.13366,-0.40835,-0.85679
Co48,O108,2.12154,-0.39735,-0.81198
Ni54,O83,2.10076,-0.44799,-0.72149
Mn32,O102,1.90463,-1.2391,-1.57964
Ni55,O95,2.0669,-0.4925,-0.806
Ni51,O111,2.10023,-0.43801,-0.71441
Ni60,O80,2.05209,-0.493,-0.80967
Ni54,O66,2.05947,-0.49508,-0.79334
Co44,O93,8.51667,-0.00016,-0.00015
Co43,O63,1.93932,-0.89035,-1.21823
Ni53,O113,2.08652,-0.45633,-0.74574
Co47,O87,1.92184,-0.61153,-1.42095
Co45,O96,2.07831,-0.4737,-0.95433
Ni57,O97,2.0357,-0.50353,-0.83697
Ni52,O72,2.0539,-0.49154,-0.79824
Co49,O77,1.94744,-0.5971,-1.27011
Mn38,O108,1.90063,-1.25738,-1.62907
Mn33,O82,1.96357,-1.09329,-1.35478
Ni56,O96,2.06715,-0.49343,-0.80277
Co49,O89,1.92196,-0.6092,-1.39463
Co41,O101,2.11654,-0.40003,-0.82585
Ni56,O76,2.06181,-0.47127,-0.77563
Mn33,O103,9.6167,-0.00012,-8e-05
Mn39,O109,1.90428,-1.23238,-1.60326
Mn36,O113,1.9456,-1.14131,-1.41467
Ni52,O112,2.10132,-0.43377,-0.73008
Co43,O83,1.92636,-0.90719,-1.25234
Mn32,O89,23.53287,-1.08743,-1.35765
Ni58,O70,2.05085,-0.49625,-0.7948
Ni52,O81,2.11215,-0.44111,-0.71357
Ni56,O68,2.04279,-0.49009,-0.81209
Ni59,O61,23.40325,-0.48683,-0.79518
Mn38,O98,1.92726,-1.18262,-1.51499
Co48,O88,1.92274,-1.00047,-1.19041
Ni57,O77,2.05107,-0.50073,-0.80119
Ni53,O65,2.05821,-0.4955,-0.78833
Co41,O111,1.93353,-0.97082,-1.18925
Co44,O64,1.93853,-0.97101,-1.15225
Mn35,O84,1.95236,-1.12037,-1.38833
Ni55,O67,2.04465,-0.48742,-0.80699
Co47,O98,2.12547,-0.41188,-0.87465
Mn40,O70,1.96489,-1.11852,-1.37966
Ni56,O106,2.06799,-0.49412,-0.78737
Ni52,O102,2.05172,-0.49267,-0.80712
Mn31,O80,22.1232,-9e-05,-0.00019
Mn35,O74,1.96943,-1.08153,-1.33837
Mn33,O112,1.95518,-1.1136,-1.38918
Mn31,O120,20.47214,-0.00011,-6e-05
Ni58,O78,2.05295,-0.49495,-0.79973
Ni57,O69,2.04743,-0.49459,-0.79861
Mn33,O93,11.13891,-0.00019,-0.00015
Co44,O84,1.92585,-0.98927,-1.18366
Ni55,O105,2.06914,-0.4897,-0.78802
Ni60,O120,2.1017,-0.43409,-0.72948
Mn35,O105,9.57011,-7e-05,-2e-05
Ni58,O108,2.04739,-0.49799,-0.82773
Co47,O75,1.95543,-0.59637,-1.22917
Mn34,O81,1.96347,-1.08378,-1.34468
Mn37,O107,1.90129,-1.24904,-1.61558
Co49,O69,1.94177,-0.61451,-1.32226
Ni55,O115,2.11108,-0.4369,-0.7112
Co42,O82,1.92425,-1.13253,-1.11101
Ni56,O85,2.0961,-0.44914,-0.7687
Co50,O120,1.93588,-0.60265,-1.35557
Co44,O114,1.94079,-0.97428,-1.1514
Mn39,O88,11.12623,-0.00019,-0.00015
Mn37,O86,11.13762,-0.00019,-0.00025
Ni52,O64,2.0512,-0.48687,-0.79376
Mn31,O61,1.96398,-1.12254,-1.36437
Co50,O90,1.92295,-0.60876,-1.37328
Mn32,O62,1.96512,-1.13783,-1.38322
Co45,O115,1.96099,-0.59408,-1.36827
Ni60,O110,2.05257,-0.49713,-0.81813
Mn31,O91,1.92321,-1.20643,-1.52051
Mn39,O99,1.9243,-1.19897,-1.54161
Mn31,O101,1.90493,-1.23419,-1.60787
Ni58,O87,2.11087,-0.43225,-0.71727
Mn38,O75,1.9625,-1.11913,-1.38734
Co41,O92,2.1303,-0.4087,-0.82047
Mn33,O63,8.62121,-0.00026,-0.00027
Co41,O81,1.92528,-1.01122,-1.16398
Mn37,O76,8.62625,-0.00022,-0.00021
Mn38,O115,1.9667,-1.07169,-1.33912
Mn40,O117,1.9543,-1.11866,-1.40113
Co46,O66,2.03331,-0.51396,-1.05013
Co43,O71,1.94783,-1.01742,-1.0473
Co48,O68,1.94448,-0.96815,-1.13728
Co42,O112,1.93399,-1.11929,-1.10632
Mn32,O119,24.33079,-1.11086,-1.39534
Mn36,O66,1.94126,-1.17998,-1.47405
Ni53,O84,8.48984,-7e-05,-0.00011
Co46,O95,8.54845,-0.00014,-0.00018
Co45,O105,2.05109,-0.47365,-1.00232
Co43,O94,2.1274,-0.42056,-0.84136
Co46,O74,1.97634,-0.58118,-1.29582
Ni51,O101,2.05068,-0.50065,-0.81821
Ni53,O93,2.04018,-0.48036,-0.82131
Co50,O99,8.51404,-0.00018,-0.00012
Co42,O91,8.51624,-0.00015,-0.0001
Ni59,O99,2.03682,-0.50705,-0.82975
Mn36,O73,1.96964,-1.08213,-1.34093
Co45,O85,2.03721,-0.49139,-1.02466
Ni53,O103,2.05608,-0.48015,-0.81485
Mn37,O116,9.64695,-4e-05,-9e-05
Co48,O118,1.93523,-0.98023,-1.16475
Mn38,O68,1.96438,-1.12426,-1.36043
Mn36,O106,1.92379,-1.1902,-1.52457
Co50,O70,1.94205,-0.6125,-1.31193
Ni54,O74,2.07265,-0.49019,-0.78087
Co48,O76,1.95257,-0.94545,-1.10895
Co50,O110,2.11423,-0.40607,-0.87628
Ni57,O88,8.47603,-6e-05,-6e-05
Mn35,O65,8.68647,-0.00028,-0.00024
Mn37,O97,1.9272,-1.18892,-1.52791
Mn40,O100,1.92388,-1.20458,-1.54256
Ni57,O117,2.10461,-0.43171,-0.73453
Co45,O65,2.03335,-0.51676,-1.04796
Mn35,O95,11.18026,-0.00029,-0.00012
Co47,O107,2.12002,-0.39675,-0.85559
Co44,O104,2.11447,-0.40308,-0.82393
Co46,O116,1.96081,-0.59427,-1.36444
Mn32,O79,26.10147,-1.09923,-1.34962
Mn32,O92,1.9227,-1.20218,-1.54888
Co49,O109,2.11793,-0.40056,-0.86588
Mn40,O87,1.96501,-1.0859,-1.34109
Co43,O113,1.9406,-1.04834,-1.08667
Co42,O62,1.94323,-1.09046,-1.06739
Mn39,O78,8.62785,-0.00014,-0.00015
Co41,O61,1.94488,-0.97894,-1.11757
Co42,O80,23.52847,-1.0829,-1.05463
Ni54,O94,2.03946,-0.48374,-0.81731
Co41,O79,23.52964,-0.93408,-1.12907
Co48,O97,8.51938,-0.00014,-7e-05
Co42,O102,2.12,-0.75792,-0.75238
Mn39,O118,9.66508,-8e-05,-5e-05
Ni58,O118,2.09982,-0.43993,-0.7229
Ni52,O92,2.03794,-0.50508,-0.82904
Co45,O73,1.97521,-0.5802,-1.30186
Mn40,O77,1.96445,-1.10398,-1.36997
